collected_at_utc,collected_at_tehran,source,symbol,fund_name,ins_code,last_price,closing_price,yesterday_price,price_change,price_change_percent,nav_subscription,nav_redemption
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,مثقال,صندوق طلای مثقال,,153390,,150856,2534,1.68,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,ناب,صندوق طلای ناب,,64649,,63700,949,1.49,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,نفیس,صندوق طلای نفیس,,110334,,108682,1652,1.52,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,نگین فارس,صندوق طلای نگین فارس,,14595,,14352,243,1.69,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,همیان,صندوق طلای همیان,,16650,,16375,275,1.68,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,میراث,صندوق طلای میراث,,11318,,11133,185,1.66,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,نهال,صندوق طلای نهال,,64540,,64508,32,0.05,,
2026-08-15T15:57:35.260913+00:00,2026-08-15T19:27:35.260913+03:30,TGJU,سافرون,صندوق طلای سافرون,,65363,,65109,254,0.39,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,آتش,صندوق طلای آتش,,33980,,33980,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,آلتون,صندوق طلای آلتون,,60367,,60367,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,امرالد,صندوق طلای امرالد,,25419,,25419,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,تابش,صندوق طلای تابش,,76193,,76193,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,جام طلا,صندوق طلای جام طلا,,17100,,17100,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,جواهر,صندوق طلای جواهر,,71020,,71020,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,درخشان,صندوق طلای درخشان,,34300,,34300,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,درنا,صندوق طلای درنا,,21600,,21600,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,رز ترنج,صندوق طلای رز ترنج,,23441,,23441,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,رزگلد,صندوق طلای رزگلد,,17707,,17707,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,ریتون,صندوق طلای ریتون,,18250,,18250,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,زر,صندوق طلای زر,,810552,,810552,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,زرفام,صندوق طلای زرفام,,139781,,139781,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,زرگر,صندوق طلای زرگر,,19289,,19289,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,زروان,صندوق طلای زروان,,38300,,38300,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,زمرد,صندوق طلای زمرد,,26335,,26335,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,عیار,صندوق طلای عیار,,527315,,527315,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,قیراط,صندوق طلای قیراط,,33801,,33801,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,کهربا,صندوق طلای کهربا,,183351,,183351,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,گلدا,صندوق طلای گلدا,,17265,,17265,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,گلدیس,صندوق طلای گلدیس,,37250,,37250,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,گنج,صندوق طلای گنج,,164200,,164200,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,گوهر,صندوق طلای گوهر,,908440,,908440,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,لوتوس,صندوق طلای لوتوس,,1353895,,1353895,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,لیان,صندوق طلای لیان,,34900,,34900,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,مثقال,صندوق طلای مثقال,,153390,,153390,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,ناب,صندوق طلای ناب,,64649,,64649,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,نفیس,صندوق طلای نفیس,,110334,,110334,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,نگین فارس,صندوق طلای نگین فارس,,14595,,14595,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,همیان,صندوق طلای همیان,,16650,,16650,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,میراث,صندوق طلای میراث,,11318,,11318,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,نهال,صندوق طلای نهال,,64540,,64540,0,0,,
2026-08-16T08:57:38.650848+00:00,2026-08-16T12:27:38.650848+03:30,TGJU,سافرون,صندوق طلای سافرون,,65363,,65363,0,0,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,آتش,صندوق طلای آتش,,33754,,33529,225,0.67,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,آلتون,صندوق طلای آلتون,,60112,,59861,251,0.42,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,امرالد,صندوق طلای امرالد,,25258,,25097,161,0.64,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,تابش,صندوق طلای تابش,,76008,,75826,182,0.24,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,جام طلا,صندوق طلای جام طلا,,17009,,16918,91,0.54,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,جواهر,صندوق طلای جواهر,,70746,,70471,275,0.39,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,درخشان,صندوق طلای درخشان,,34170,,34041,129,0.38,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,درنا,صندوق طلای درنا,,21513,,21427,86,0.4,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,رز ترنج,صندوق طلای رز ترنج,,23350,,23259,91,0.39,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,رزگلد,صندوق طلای رزگلد,,17630,,17553,77,0.44,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,ریتون,صندوق طلای ریتون,,18160,,18070,90,0.5,,
2026-08-16T11:58:51.889541+00:00,2026-08-16T15:28:51.889541+03:30,TGJU,زر,صندوق طلای زر,,808517,,806501,2016,0.25,,
