symbol,asset_name,price,price_change,price_change_percent,last_update,collected_at_tehran,source
usd,دلار,2333050,13100,0.56,19:59:57,2026-09-26T22:08:39.751214+03:30,tgju
gold18,طلای 18 عیار,238298000,2948000,1.24,19:59:55,2026-09-26T22:08:40.119613+03:30,tgju
sekee,سکه امامی,2384900000,15200000,0.64,19:59:57,2026-09-26T22:08:40.543008+03:30,tgju
sekeb,سکه بهار آزادی,2343750000,17000000,0.73,19:59:57,2026-09-26T22:08:40.977806+03:30,tgju
nim,نیم سکه,1220000000,10000000,0.82,11:30:32,2026-09-26T22:08:41.367640+03:30,tgju
rob,ربع سکه,645000000,5000000,0.78,11:30:32,2026-09-26T22:08:41.732108+03:30,tgju
gerami,سکه گرمی,340000000,0,0,11:02:44,2026-09-26T22:08:42.107226+03:30,tgju
